,nickname,text,score,like,dislike,time,watch_movie
10,hanb****,공정한 점수와 평점을 맞추기 위해 10점을 줍니다.. 10점 짜리는 아니지만 이렇게 낮은 점수는 아닙니다..저한테 가장 큰매력은.. 반전이 있을것 처럼 신경쓰게 해 놓고 반전이 없는게 큰 반전이였습니다.. 재치있는 ...,10,2,0,2019-11-28 13:58:00,0
11,떡대(powe****),배우들의 연기와 소재만 좋다.만약 인류의 종말시킬 변종바이러스가 창궐한다면? 베이스로 여러가지 시나리오 중 가장 밋밋한 스토리이 영화에 뚝배기를 날리고 싶을 정도로 토역질을 일삼는 악역이 존재했다면 평점이 달라졌을 ...,5,0,7,2019-11-28 04:26:00,0
12,아롬맘(maya****),전염병이 이렇게 무서운것입니다 여러분 항상 손소독제를 생활화하시오,8,2,0,2019-11-25 01:49:00,0
13,namy****,재미있어서 3번봤음 평점 6점대짜리 절대아님,10,2,0,2019-11-24 14:40:00,0
14,취급주의(thes****),,8,0,0,2019-11-21 16:28:00,0
15,어지러(hoot****),지금 현재 중국에서 흑사병 환자가 발생했다. 나는 흑사병에 관련된 이야기가 궁금하던중 이 영화를 보게되었고 컨테이젼은 만약을 대비해서 그려낸 이야기처럼 아주 현실적이고 우리가 생각하고있는 상황을 리얼하게 표현해줬다....,10,2,0,2019-11-15 13:24:00,0
16,brai****,비슷한 소재를 다룬 영화들 중에 단연 최고라고 생각합니다. 특히 바이러스 전파 경로를 보여주는 부분이 너무 인상적이라 두고 두고 생각이 나요.,10,3,0,2019-11-13 13:29:00,0
17,mins****,,10,0,0,2019-11-12 14:16:00,0
18,참치마요(keiz****),,9,0,0,2019-11-01 16:08:00,0
19,피케이pk(0151****),좌빨들이 싫어하는 영화 전라도 축산업가들이 싫어하는 영화,10,0,5,2019-10-07 10:28:00,0
20,김한솔(khso****),지극히 현실적이다. 심지어 백신을 생산하고 유포하는데 걸리는 시간마저 현실적이다.,8,66,0,2019-09-23 13:16:00,0
21,갓갓이(1111****),원인은 박쥐엿네..ㅋㅋ 재난영화지만 담담한편이었고 다큐스런 느낌도 물씬,6,0,1,2019-08-19 23:51:00,0
22,freeman(marq****),까나리 액젓. 파워 블로거,8,0,1,2019-08-16 22:58:00,0
23,깡통팩(code****),극적요소가 없어서 그런가 왜케 평점이 낮지?,10,1,0,2019-08-15 17:30:00,0
24,사장(gksa****),뭐때문에 평점이 이래?.... 재난영화중에서 괜찮은쪽인디....,10,14,0,2019-04-22 23:51:00,0
25,병발(alsl****),현실적인 영화. 너무 무섭기도 했음,10,2,0,2019-04-07 22:51:00,0
26,LSJ(9870****),평점이 왜 저정도인지 알겠는데.. 기대했는데 생각보다 되게 별로네,6,0,3,2019-04-03 02:11:00,0
27,스윗냇(babo****),재난영환데 재난스러운 연출이 없다,4,0,4,2019-04-02 14:01:00,0
28,올레(etth****),나쁘지않음. 새로운 재난영화였다.,7,1,0,2019-03-29 04:47:00,0
29,rushman(ssan****),전염병 사태를 사실적으로 느끼게해준 영화,7,1,0,2019-03-17 09:08:00,0
30,아싸까오리(swee****),국민은 그저 권력자아래 개돼지일뿐이다,8,1,0,2019-03-14 22:18:00,0
31,thdy****,다시 볼수록 정말 잘만든 영화..,10,18,0,2019-03-06 12:20:00,0
32,AKAPHIA(terr****),lIlIlIlIlIlIlIl,6,0,1,2019-03-02 01:55:00,0
33,김성은(loki****),8점은 되야 할 영화라 생각함,10,2,1,2019-02-26 03:11:00,0
34,아야세 하루카(love****),인간다워라. 손은 씻고 다닙시다,10,0,0,2019-01-19 01:32:00,0
35,최성용(nolj****),좋은영화에요 사실적이고 진지해요,10,1,0,2018-12-31 22:25:00,0
36,배모씨(bwj1****),이게 왜 6점이야 이 테러범들이,10,1,0,2018-12-29 15:57:00,0
37,크리스티아누법정출두(cjhc****),"다큐가 이거보다 더 재밌겠다 ㅡㅡ 잔잔해서 긴장감 하나도 없고 거의다 감염경로, 백신개발에 대한 내용임. 이게 어떻게 평점 6점대냐 한국관객들 수준하곤ㅉㅉ이새리들은 전염병은 무서워하면서 죄다 문과나 쳐가기나하고ㅡ.ㅡ...",4,0,10,2018-12-26 04:57:00,0
38,워니(enga****),유명배우들 많이 나오네요. 7점 주고 싶은데 쓸데 없이 평점이 낮아서 8점 주는 걸로..,8,0,1,2018-12-23 08:54:00,0
39,똥쟁이근우(rmsd****),6점대라는게 말이 안되는 명작. 바이러스라는 소재를 가지고 엄청난 명작을 만들어내버림. 적어도 8점대 후반은 나와야하는 영화다.,10,3,0,2018-12-14 21:13:00,0
40,리마(mjbo****),절때 6점이 아닌영화.. 되게 현실적이고 특히 주드로 한테 보는 나도 속을뻔,10,2,0,2018-12-11 17:04:00,0
41,주희(juhe****),평점 6점대는 아닌거같아 10점 줍니다. 근데 감염걸린 박사는 살아남? 어떻게되는지 안보여주노,10,0,1,2018-12-11 04:49:00,0
42,jina****,이영화왜6점이냐 ㅋㅋㅋ?명작인거같은데 ㅋㅋ,10,6,0,2018-11-28 00:00:00,0
43,haks****,삼류다큐영화인줄 알았는데 유명배우 많이 나오네. 영화가 주는 메세지가 너무(X) 매우(O)  좋네.,10,0,0,2018-11-24 12:37:00,0
44,잇쿵(roam****),마지막 장면 섬뜩하다. 그나저나 기자평점보다 일반인 평점이 낮다니.. 한국 관객들 수준하곤....,8,3,0,2018-11-23 16:07:00,0
45,서미소(smil****),전염병을 현실적으로 잘 표현한 영화. 항상 손을 깨끗하게 씻자.,10,1,0,2018-11-17 23:03:00,0
46,파스텔마음(ryoo****),6점대라니...허참,10,1,0,2018-11-14 23:37:00,0
47,인간(tkek****),잔잔하다보니 살짝지루한건흠이지만 재난사태에대한묘사를 현실감있게해놓음 근데 이게 어떻게 감기나 연가시같은 ㅈ같은 한국신파영화보다 평점이낮냐? 이래서 한국영화는답이없음,7,0,0,2018-11-05 17:28:00,0
48,캡틴마벨러스(klk3****),차분하긴 하지만 이성과 감성의 훌륭한 조합,8,1,1,2018-10-21 16:15:00,0
49,SweetLee(lbi1****),6.87? 보기는 하고 평점 준건가? 나라도 평점좀 올려줘야겠다!,10,2,1,2018-10-18 10:31:00,0
50,zephyr(tn99****),1. 손을 잘 씻자 2. 바람 피지 말자 ㅋ,9,1,2,2018-10-17 17:07:00,0
51,u12(atec****),사실적이고 현실적으로 그려서 보고나면 마음이 무거운데 흡인력이 대단하다. 재밌게 봤음. 솔직히 평점 8점~9점정도 돼야함.,10,2,1,2018-10-13 22:20:00,0
52,콜라좋아(mind****),진심 내가 예전에 봤던 흑사병 다큐멘터리가 더 재밌음,2,0,2,2018-10-03 01:51:00,0
53,selena333(bang****),평점이 너무  낮은 것 같아서 10점 줍니다,10,2,0,2018-09-30 12:43:00,0
54,솔(cito****),전염병이 유행할 경우 어떤 일이 벌어질지 너무나도 현실적으로 표현.. 너무 무섭네..,10,2,0,2018-09-26 16:09:00,0
55,그아재(offi****),리얼한 바이러스에 대한공포,10,1,0,2018-09-17 03:21:00,0
56,드로(jaeb****),평점 7~8점대는 되보이는데 평점이 왜이렇게 낮아요?,10,1,0,2018-09-16 01:05:00,0
57,뻬뻬로(21st****),배우들은 죄다 블록버스터인데 지루하기 짝이없다,4,1,1,2018-09-09 01:19:00,0
58,해피(mar6****),현실적으로 풀어낸 영화. 자극적인 장면이 없어서 밋밋하다고 느낄수도 있지만 괜찮았다,7,0,0,2018-08-25 13:39:00,0
59,덥다(jinh****),평점이 이해가 안간다. 못해도 7점 후반대는 나올줄 알았는데,10,1,0,2018-08-15 09:15:00,0
60,범이(sung****),인생 영화 중 하나. 최고의 재난 영화. 바이러스 주제 영화 중 최고,10,0,0,2018-08-12 12:32:00,0
61,핀투윙(b910****),정말 객관적으로 딱 7점정도가 적당한듯. 감기나 연가시보다는 좀더 현실적인  느낌. 보는사람에 따라서는 살짝 지루할 수도 있음.,7,0,0,2018-08-04 02:05:00,0
62,추입(seho****),진짜 겁나게 현실적이고 극사실적으로 그려내다보니 다소 긴박함은 떨어지는 것이 사실임. 하지만 스토리 구성이 완전 탄탄하고 개연성에 한치 이상도 없어 몰입도는 좋다고 생각함 8점이 딱 맞는듯,8,2,0,2018-08-04 00:22:00,0
63,mins(jay2****),너무 좋은 영화 입니다.,10,1,0,2018-07-20 15:08:00,0
64,eune****,2000년도 개봉한 영화 '리플리' 주인공들이 여기 다 있다니..  진짜 캐스팅이 대박인 영화! 그리고 정말 재난영화로서 현실적이게 잘 그려낸 영화! 배우들의 연기도 좋았습니다!,10,0,0,2018-07-11 14:17:00,0
65,프프(atth****),평점 낮은거 노이해다  정말,10,1,0,2018-05-31 08:43:00,0
66,프프(atth****),평점 낮은거 노이해다  정말,10,1,0,2018-05-31 08:43:00,0
67,엄대호(djae****),숨죽이고 본 영화 충분히 현실에서 일어날 수 있는 일이라는게 더 무서웠다,10,1,0,2018-05-30 20:52:00,0
68,gkdlduawe23(dnjs****),10점을 줄 수 밖에 없는 영화다  현실적 그 자체,10,1,0,2018-05-30 01:22:00,0
69,스매싱(isqu****),감기약도 안 먹었는데 무지 졸면서 봤으니... 딱 그정도.,6,0,3,2018-05-13 02:03:00,0
70,말머리(btli****),말도 안되는 평점  상승을 위해 10점 줍니다. 원래는 8.3,10,0,0,2018-04-24 22:09:00,0
71,Taylor Park(rnjs****),재미있는데 평점때문에 10점준다.,10,0,0,2018-04-24 07:23:00,0
72,Anadel(kywo****),"정말 모범적인 전염병 상황 시뮬레이션 같습니다. 극도로 긴급한 상황에서 돈의 노예, 영웅, 자기 희생자들의 모습도 잘 표현되었고 인간의 욕심이 재앙으로 다가온다는 결말도 참 인상깊게 봤습니다.",8,2,0,2018-04-10 20:35:00,0
73,닉네임없어요(wg90****),"다큐가 이거보다 더 재밌겠다 ㅡㅡ 긴장감 하나도 없고 거의다 감염경로, 백신개발에 대한 내용임",1,1,11,2018-04-09 17:24:00,0
74,한유진(ddi0****),한편의 다큐를 보는 듯한 기분이었습니다.,5,0,0,2018-04-09 02:27:00,0
75,유혹(sire****),잘보긴 했는데 백신실패하고 아예 다 망했으면 더 재밌었을듯,8,1,1,2018-04-04 05:08:00,0
76,lsh zz(dltm****),너무 현실적이라 평점이 낮은듯...ㅋ 하여간 액션이나 로맨스가 없으면 평점 확 떨어지네 재밌게봤고 한번쯤은 다시 생각해볼 영화,10,2,0,2018-04-01 05:49:00,0
77,모두가하나되는세상(wlsg****),엄청 잘 만든 영화입니다.,10,1,0,2018-03-27 09:55:00,0
78,jhg5****,너무 잘 만들었고 소름돋는 영화,10,1,0,2018-03-27 05:22:00,0
79,샵(thav****),주인공이 아무것도 하는 역할이 없다는거에 놀랍다,10,0,1,2018-02-28 06:35:00,0
80,아리까리(aasd****),볼만했음 액션이나 숨겨진 심오한 떡밥들이 없어서 우리나라 사람들은 안좋아할듯결국 짱깨놈들이 수출하는 식품들 처먹지 말란 내용인가,7,1,2,2018-02-23 07:37:00,0
81,강한백(khbb****),지극히 현실적임. 군더더기 하나 없이 인간 군상들의 현실을 그대로 반영한 영화.,10,2,0,2018-02-20 19:02:00,0
82,황현준(ghkd****),"원일 모를 전염병의 원인을 알아내기 위하여 연구진들이 각종 가설을 세워서 증명해가는 부분에서의 막연함과 두려움. 그리고 잘 짜여진 프로세스로 해결해나가는 부분들이 인상 깊었습니다.이 영화는 현실적이며, 배우진들의 연...",10,0,0,2018-02-17 02:40:00,0
83,미네트(mjma****),평점테러좀하지마라 시바것들,10,2,0,2018-02-16 00:37:00,0
84,anonymous(sosi****),시작부터 발원지를 동양으로 그려놓고 엔딩 장면에서는 확인사살... 서양보다 상대적으로 못살고 위생관념이 떨어지는 민족이라는게 동양에 대한 이미지인것 같아서 불쾌했다. 그리고 캐스팅은 호화판인데 여자배우들은 정말 몇초...,2,0,3,2018-02-15 20:16:00,0
85,Reol(juye****),대체 왜 6점대인지 이해할 수 없는 영화,10,1,0,2018-02-12 20:35:00,0
86,원자(grea****),이런게 재난영화임....,10,1,0,2018-02-07 17:15:00,0
87,디셈버(hang****),이게 6점대인 이유가jQuery22409191961335246224_1517961436408 궁금하네ㅋㅋ 어째서,10,0,0,2018-02-07 08:58:00,0
88,망쿨이(dltk****),그와중에 한국은 깨끗함 ㅋㅋ,1,0,9,2018-02-06 21:44:00,0
89,mist****,최고의 재난영화~~^^,10,0,0,2018-02-04 21:19:00,0
90,이사무(star****),영화의 시사하는 점은 많았다. 실제로 바이러스 창궐로 인한 혼돈 폭동같은 것은 잘 표현했다고 본다. 하지만 등장인물들을 대거 소개해놓고선 뭐 하나 재대로 끝맺음을 하지 않은 점은 정말 아쉽게 생각한다.,5,0,1,2018-01-22 16:18:00,0
91,승2마미(suri****),재난영화 현실성이 있어 더 좋았다 로맨스 없어서 좋았다,10,0,0,2018-01-21 21:28:00,0
92,여니(s_ye****),현실적이긴하나 재미는 많이 떨어짐..,6,0,1,2018-01-17 20:07:00,0
93,추억(west****),핵노잼 바이러스  주의보,1,0,7,2018-01-13 18:53:00,0
94,vibe(roon****),"진짜 정석적인, 현실적인 영화. 그래서 그다지 추천하지는 않는다. 흔하게 예상해볼 수 있는 상황을 연출했을뿐.",7,0,1,2018-01-01 02:53:00,0
95,LYC(lyc2****),평점뭐냐 누가 테러했냐,10,3,0,2017-12-29 23:02:00,0
96,포대화상미륵존여래불(baks****),죽은 베쓰 엠호스(기네스 펠트로)순식간에 두피 벗겨내는 장면에서 진짜...,10,1,0,2017-12-28 03:45:00,0
97,HuBi(mmha****),다른 바이러스 재난영화랑 다르게 차분히 진행되는 스토리와 배우 각각이 가지는 캐릭터가 현실적인 부분이 커서 더 잼있는거 같다...,8,2,0,2017-12-27 16:26:00,0
98,minseonghyeon(wol0****),바이러스가 퍼졌을때 현실적인 대처랄까,10,1,1,2017-12-26 20:35:00,0
99,rhb8****,뭐든 '짱깨가 문제' 라는 사실을 전세계에 알린 수작.,10,4,1,2017-12-26 02:15:00,0
100,바닐라(batg****),"영화에서 묘사되는 ""아시아""가 천편일률적이고 스테레오타입임. 항바이러스제를 구하기위한 who직원 납치 장면은 -서양인이 생각하는!- 동양인의 피해의식 반영. 비위생적인 홍콩 주방 및 감염된 돼지 식재료...",2,1,3,2017-12-16 00:00:00,0
101,하앙(jys3****),".... sns, 인터넷 < 정부....선동은... 돈이된다....",10,0,0,2017-12-13 23:19:00,0
102,오뒤(ohha****),ㅋㅋㅋ평론가 평점보다 네티즌평점이 낮은 영화는 처음보네 이런영화를 평점6을주냐미띤;;,10,1,0,2017-12-12 19:16:00,0
103,레어(zmfk****),재난영화를 제대로 표현하면 이런 영화가 맞지 않을까요.. 스릴넘치고 박진감 있는 영화보다는요,10,1,0,2017-11-29 10:47:00,0
104,풍산개(mood****),그냥...평점 높이기...영화는 안봤음. 배우들이 다들 사기캐릭터잖아...,10,0,0,2017-11-27 11:23:00,0
105,ghdeh1234(kyt0****),평점이 너무 낮네... 내가 올려야지~~~,10,0,0,2017-11-16 18:18:00,0
106,머쨍이(cwi8****),영화 볼줄모르는 삐꾸들이 많네 육점대라니 ㅋㅋㅋㅋ,10,1,0,2017-10-30 16:00:00,0
107,플레인요거트(1122****),이거 평점 이상하다 처음까지 내려봤는데 10점 9점 8점이 많던데 왜 7도 안돼? 영화 진짜 잘 만들었다.,10,1,0,2017-10-30 01:31:00,0
108,전지현(gabb****),평점이 너무 낮아 10점 주고 갑니다. 여지껏 본 재난 영화 중 최고. 한국 신파 재난영화 만드시는 감독들 이 영화 보고 반성하시길. 특히 연가시 감독님.,10,1,0,2017-10-27 14:16:00,0
109,가보시(leme****),난 재미나게보았다ㅋㅋ,10,0,0,2017-10-23 12:00:00,0
110,하피하피(hspa****),이게 6점대인 이유 설명좀 완벽,10,1,0,2017-10-23 02:37:00,0
111,졸려(daun****),"평점이 이렇게 낮다니...한국인의 재난영화는 감동,눈물이 꼭 있어야한다는 말인가...주드로의 사기꾼 연기는 묵직했고 영화의 스토리는 매우 깔끔하다.  사랑,감동,눈물을 뺀 재난 그 자체를 담아냈다는 점에서 영화는 감...",10,1,0,2017-10-16 02:30:00,0
112,Konnng(hoho****),무섭다..ㅠㅠ먼훗날 인류의모습,10,0,0,2017-10-14 00:41:00,0
113,YANGUN(born****),모두 연결돼 있다.위험은 늘 우리 곁에.,9,0,0,2017-10-07 19:46:00,0
114,whatever00(kka6****),너무 잔잔하고 일상적인 묘사가 더 무섭고 소름 끼친다.,10,2,0,2017-10-03 22:58:00,0
115,lace(lace****),"에덴동산의 아담의 귀한 하와부터 에덴동산 내 뱀에 연루된 하와까지, / 심판 내의 아내, 심판 내의 여자부하, 심판 내의 집단대중 / 인간의 최선에는 옵션이 없음",10,0,0,2017-10-01 15:53:00,0
116,mlyi****,"말이좋아 현실적재난영화.시나리오는 전염병이 생겼을경우가정하에 누구나 생각할수있는 시나리오. 전염병 백신이 개발되는과정 그린영화 그 이상도 이하도아니다 현실적인게 좋다면10점이지만 재난영화의 긴장감,반전,드라마틱한 부...",1,0,10,2017-09-29 06:59:00,0
117,반무(banm****),영화의 완성도에 비해 평점이 너무 낮음,10,3,0,2017-09-11 06:15:00,0
118,JJ(kang****),매우 현실적인 재난영화,10,2,0,2017-09-08 01:41:00,0
119,davidoff(ghos****),다시봐도 리얼하네...,10,1,0,2017-09-07 13:36:00,0
120,Spock(acea****),과거를 회고하며 현실을 직시하며 미래를 바라보는,8,1,0,2017-09-02 04:48:00,0
121,jura****,진짜 오랜만에 본 제대로된 영화화려한액션이나 폭발신 없이도 팽팽한 긴장감이 계속 됨,10,2,0,2017-08-27 01:28:00,0
122,고수(nssy****),재미잇게봣어요 다만 허접하기 그지없느 사운드 트랙은 몰입에 오히려 방해가 되네요,7,0,2,2017-08-14 09:15:00,0
123,키왁스업si(kse5****),정말 이정도면 현실감있게 바이러스에대해 잘만든거 같네요 정말 명작 평정 6점대라는게 믿기지가 않네요 사람들이 뭘보고 점수를주는지 이해가안가네요 ㅋㅋ,10,2,0,2017-08-11 02:22:00,0
124,mool****,"..,,..,,..,,",2,0,3,2017-08-02 09:09:00,0
125,sho8****,지금 현대사회가 가지고 있는 헛점이 여실히들어나오는것을 영화로 옮겨놨는데도 이런거 생각하고 싶지않다 현실적으로 생각하고 싶지않다는것 때문에 스릴러를 못느끼시는거지 조금만 관찰력있고 메르스로 고생한거 생각하고 더한거 ...,10,0,0,2017-07-31 23:31:00,0
126,wotm****,평점낮아서 안볼뻔했다 왜이리낮은지..8점정도는됨 신파없고좋음 질질짜는거없이 깔끔함엊그제판도라봤는데 평점너무한거아닌가 그것보다훨씬낫다,10,3,0,2017-07-31 00:31:00,0
127,gojaeoh(goja****),발단이 빠른것은 좋았으나 너무 현실성있게 연출해 나가다보니 후반부로 갈수록 몰입도가 떨어지는것이 매우 유감이다. 절정부분에서 뭔가 확실하게 각인시켜야하는 부분도 없으니 지루하다는 느낌을 지울 수 없다. 아쉬움이 많이...,7,1,0,2017-07-30 20:31:00,0
128,이성민(dlrb****),정말 현실적인 영화인거 같아요 주인공 버프는 없도다..,10,8,0,2017-07-29 03:46:00,0
129,원태(liod****),십점이상입ㄴㄴ니다오예,10,1,0,2017-07-28 12:16:00,0
130,냠냠(rene****),보세요 볼만해요  매우 현실적이네요,10,2,0,2017-07-28 00:02:00,0
131,wpsa****,대사만 많다...교육 자료인 줄...,1,1,6,2017-07-24 15:09:00,0
132,별명없음(jbl7****),낮은 별점 준 애들은 분명 좀비물 같은 장르로 생각했겠지,9,3,0,2017-07-04 01:03:00,0
133,노네임(euxl****),머리 나쁜 애들은 보지 말기를,10,2,1,2017-07-04 00:47:00,0
134,벼박사(vinf****),잔잔하면서도 현실적으로 스토리라인을 잡았군요. 다소 지루한 감도 있음,6,0,1,2017-07-01 01:52:00,0
135,chloe youngyee son(sonc****),영화라는 장르가 보통은 픽션을 바탕으로 전개되는 부분이 있어서 논픽션류 보다 픽션류가 더욱 자극적이고 재미있기는 하다.이 경우에 픽션을 더욱 현실성있게 담아내어 보는내내 긴장을 늦출수가 없었다. 개인적으로는 매우 만...,9,0,0,2017-06-17 02:27:00,0
136,pooq(popp****),바이러스 보다 무서운 주드로 같은 쓰레기 선동꾼들,7,2,0,2017-06-13 11:20:00,0
137,beat****,난 bgm이 좀 안 어울린다고 생각하는데.. 그래도 6점대는 아닌듯,10,1,0,2017-04-30 23:34:00,0
138,mumu(tong****),생각보다 평점이 낮아서 10점 줍니다.,10,1,0,2017-04-15 04:01:00,0
139,배문기(slam****),왜 평점이 어떻든 간에 상대방의 판단에 대해 의구심을 품는거지? 물론 나도 그 사람들의 판단에 의구심을 품는 아이러니한 상황이다. 현실적이고 훌륭한 연출에 재밌게 보았지만 이야기가 없다. 영화를 기대하고 본 관객으로...,2,0,3,2017-04-10 22:23:00,0
140,What(maxc****),올해 봤거나 볼  영화중 탑 텐 안에 들거라고 생각된다. 실제 있을만한 또 이런일이 벌어진다면 도시의 상태 바이러스의 전염성이 얼마나 대단한지 당국의 대처등이 오버없이 깔끔하게 결말도 DAY1으로 돌아가는 그런결말 ...,10,2,0,2017-04-10 01:52:00,0
141,프라다(choh****),평점을 보니 한심한 개티즌의 미개한수준을 알겠다,10,4,2,2017-04-09 11:15:00,0
142,2046(hyem****),평점이 왜이렇게 낮은지 모르겠네요.정말 재미있게 봤습니다,10,3,0,2017-04-08 03:49:00,0
143,간달프(lion****),인간의 자연파괴가 전염병재앙으로 되돌아오는걸 암시하는 마지막 엔딩장면이 인상적,9,18,0,2017-04-03 10:33:00,0
144,김미경(sera****),너무 현실적이여서 더 공포스럽다,10,9,0,2017-04-02 03:30:00,0
145,kimura(jjon****),이런 죽음의 바이러스 같은 영화같으니..이런 배우들을 죽이는구만!!,1,1,7,2017-03-23 04:05:00,0
146,김지후(nova****),아 지루하고 재미가없네,6,0,1,2017-03-16 23:35:00,0
147,스페셜(wlfa****),감염 재난을 가상한 현실적이고 극사실적인 연출이였다. 다만 다큐멘터리같은 연출이 다소 지루할 수 도 있다.,8,0,0,2017-03-16 21:48:00,0
148,qkrw****,지루해요.... 너무 잼없어요....  손씻기를잘하자?,5,0,2,2017-03-15 01:56:00,0
149,귀살어검(wave****),평점이 너무낮네요 직관적인 현실영화라 생각함 8점 대라 생각하는데 너무낮아서 10점,10,1,0,2017-03-02 14:26:00,0
150,만성피로(rand****),너무 소름 끼치네. 이런게 현실에 일어나면 지옥도일듯,10,1,0,2017-03-01 22:25:00,0
151,티지(fmms****),바이러스쪽에 종사했던 연구원으로서 진짜 현실적이고 재밌게 봤던 작품인데.. 좀비들이 안 달려나오고 떼거지로 총 쏘고 내장 튀어나오고 이런 씬이 없다고 지금.. 평점이 저렇게 나온 건지. 오히려 이게 현실에 가깝습니다...,10,5,1,2017-02-24 12:51:00,0
152,사카린(tsls****),과장된 예고편과 리얼함을 추구한 영화 사이에서 생긴 괴리감으로 인한 낮은 평점. 크로니클과 마찬가지로 예고편으로인한 희생작,10,2,0,2017-02-23 02:50:00,0
153,cool****,블로거 개OO는 개나리즙으로 면역생겼다면서 영화 끝까지 우주복같은거 입고 당기네?,10,2,0,2017-02-22 23:32:00,0
154,SEHWALI(bren****),영화가 아니라 일종의 다큐멘터리 채널을 보는거 같았음.. 다만 극 사실적인 면이 있어서 그런지 그 이상의 무언가를 원했다면 실망할수도 있을듯하다,8,0,0,2017-02-16 02:47:00,0
155,김녹다(nokd****),내용과 진행이 현실감 있어요,10,0,0,2017-02-09 22:49:00,0
156,조카신발28cm(yang****),말들이많냐? 그냥재미없다. 차라리 다큐가 더 낫겠다.,1,2,6,2017-02-03 05:37:00,0
157,banaou(yeon****),임팩트가 없는 아주 잔잔한 영화임. 맷데이먼은 주연 맞나?할 정도 비중 없음,5,3,2,2017-01-31 16:06:00,0
158,밍뭉(hi_y****),지루하다 다큐보고말지,1,2,5,2017-01-27 20:39:00,0
159,바이마르(itwa****),이게 영화냐 다큐냐....,5,4,3,2017-01-21 00:13:00,0
160,조민희(jiyo****),우연히 보게됬는데 재난영화중에 괜찮은영화다..,10,0,0,2017-01-09 02:30:00,0
161,루피(xx41****),평이의외로낫다~!:,8,0,2,2017-01-02 14:51:00,0
162,이하라(kism****),이제서야 봤다 무거운 내용을 잔잔하게 잘도 묘사해냈네,10,0,0,2016-12-31 17:34:00,0
163,호연지기(ejae****),"뻔한 재난 영화의 틀에서 벗어났다. 사실적이고, 틀에 박힌 가족주의적 가치와 신파는 없다.",10,3,0,2016-12-24 13:55:00,0
164,Chelsea(oops****),완전 현실적이라 소름 ㅠㅠ,10,1,0,2016-12-19 14:53:00,0
165,우비(gree****),"이 영화가 6점대? 아, 1점 준 사람들이 전체 15%나 되네. 이럴 정성 있었으면 지들 영화나 더 잘 만들것이지.. 어휴 작작좀 하자.",10,2,0,2016-12-15 05:29:00,0
166,chelestis(vict****),너무나 일상적이라 더 등골이 서늘해지는 결말,10,0,0,2016-12-04 17:03:00,0
167,emotion(jun2****),죽음은 너무나 두려운 존재,8,0,0,2016-11-25 13:27:00,0
168,gons****,너무 무섭다...감기는 아직 치료약이 없다던데그저 열낮추고 기침멈춰주는게 다라는데치료제나오면 정치인들 돈많은것들 먼저 챙기려나?,10,0,1,2016-11-22 02:21:00,0
169,이디마니(2g10****),매우 현실적인 영화라 생각함,10,0,1,2016-11-15 00:37:00,0
170,내모르나(kiss****),평점이 도대체 왜이러자?,10,1,0,2016-11-14 11:54:00,0
171,김성혁(pete****),정말 현실적으로 전염병이 출연했을 때 나타날 수 있는 사회현상을 묘사했다. 약간 판타지 다큐멘터리 같은 기분. 배우들도 다 유명하고 연기 잘 했고 의학을 공부하는 사람이 봐도 과학적으로 정확하다.,10,0,0,2016-11-13 19:57:00,0
172,정우진(gsho****),평점 너무 낮아요 ㅠㅠ 현실적이었는뎅,10,0,0,2016-11-08 13:03:00,0
